0	65.4951
16.6667	71.2788
33.3333	75.0166
50	76.2879
66.6667	81.1517
83.3333	101.0105
100	128.5896
116.6667	150.2057
133.3333	158.3247
150	161.6919
166.6667	164.5416
183.3333	158.3593
200	150.638
216.6667	148.5753
233.3333	140.0464
250	128.7316
266.6667	118.3522
283.3333	106.4673
300	94.3961
316.6667	84.2189
333.3333	77.0107
350	69.3468
366.6667	57.9946
383.3333	51.6772
400	56.6823
416.6667	64.575
433.3333	72.0471
450	78.742
466.6667	82.6093
483.3333	87.881
500	106.0177
516.6667	133.9142
533.3333	153.6779
550	158.0724
566.6667	162.8792
583.3333	161.4953
600	156.4931
616.6667	148.9911
633.3333	148.5818
650	138.1839
666.6667	127.3524
683.3333	114.6697
700	103.8005
716.6667	95.3823
733.3333	85.3626
750	72.2674
766.6667	61.5522
783.3333	53.0011
800	53.1473
816.6667	60.9077
833.3333	66.1943
850	71.4316
866.6667	74.9941
883.3333	79.1281
900	87.6564
916.6667	120.7649
933.3333	145.9357
950	158.2181
966.6667	159.5931
983.3333	163.5957
1000	163.5179
1016.6667	159.1082
1033.3334	151.9719
1050	144.0844
1066.6666	132.7321
1083.3334	120.9275
1100	113.548
1116.6666	102.9566
1133.3334	90.9265
1150	81.5524
1166.6666	71.6754
1183.3334	63.705
1200	54.7698
1216.6666	57.3508
1233.3334	66.9507
1250	73.7811
1266.6666	78.9645
1283.3334	82.6665
1300	84.0895
1316.6666	92.8316
1333.3334	121.4827
1350	146.5337
1366.6666	156.7737
1383.3334	158.7916
1400	160.0995
1416.6666	156.4558
1433.3334	152.0886
1450	147.8622
1466.6666	144.6377
1483.3334	129.7778
1500	121.057
1516.6666	110.6988
1533.3334	100.3384
1550	91.6155
1566.6666	80.7919
1583.3334	68.1011
1600	56.0647
1616.6666	47.7844
1633.3334	51.1716
1650	59.3525
1666.6666	66.2584
1683.3334	73.3098
1700	78.2593
1716.6666	85.1663
1733.3334	98.2913
1750	126.6068
1766.6666	148.1522
1783.3334	155.5632
1800	158.9851
1816.6666	160.877
1833.3334	154.818
1850	148.7887
1866.6666	146.384
1883.3334	137.0747
1900	123.6424
1916.6666	112.9675
1933.3334	102.0168
1950	95.5387
1966.6666	85.6211
1983.3334	71.3725
2000	62.279
2016.6666	55.272
2033.3334	54.3955
2050	59.3729
2066.6667	66.8359
2083.3333	74.3509
2100	77.2223
2116.6667	79.7075
2133.3333	85.6651
2150	104.398
2166.6667	135.1458
2183.3333	150.3121
2200	154.5046
2216.6667	155.8143
2233.3333	155.2497
2250	149.6657
2266.6667	145.2132
2283.3333	140.821
2300	133.7152
2316.6667	123.1861
2333.3333	114.3576
2350	105.0432
2366.6667	94.0653
2383.3333	84.6098
2400	75.2248
2416.6667	62.8634
2433.3333	54.6582
2450	51.6358
2466.6667	57.6693
2483.3333	64.0395
2500	71.9701
2516.6667	78.4619
2533.3333	81.6467
2550	88.5324
2566.6667	108.3515
2583.3333	134.5265
2600	151.6644
2616.6667	156.7063
2633.3333	158.8262
2650	158.0229
2666.6667	153.3825
