term,coefficient,std_error,t_statistic,p_value
intercept,-0.03168251009794871,0.1251820028763,-0.25309157362864804,0.801678133597323
concentration_numeric,0.0036650961423859187,0.001642344316044197,2.231624700485332,0.03214164839479837
exposure_Terf,0.33765912368892437,0.12586024225974762,2.682810056825338,0.011069946784858342
