exposure,metric,n_groups,f_statistic,p_value
Phe,arrhythmia_risk_score,4,1.8419419307113674,0.1858952825567209
Phe,mean_ibi_ms,4,0.6731195926330933,0.5826285470782098
Phe,contraction_amplitude_mean,4,0.9552095631378986,0.4408936528849348
Terf,arrhythmia_risk_score,4,1.974465941824082,0.15848017764392264
Terf,mean_ibi_ms,4,5.938248216171997,0.00637984691819823
Terf,contraction_amplitude_mean,4,0.5727251938183417,0.6410953589220354
