sample,exposure,concentration,well,fish,n_peaks,mean_ibi_ms,sdnn_ms,rmssd_ms,cv_ibi,pnn50,mean_hr_bpm,arrhythmia_risk_score,arrhythmia_probability,arrhythmia_score_cv,arrhythmia_score_rmssd,arrhythmia_score_outlier,arrhythmia_outlier_fraction,arrhythmia_data_sufficient,arrhythmia_quality_flag,arrhythmia_ibi_count,arrhythmia_threshold,paired_ttest_pvalue_vs_control0_mean_ibi,paired_ttest_pvalue_terf_vs_phe_mean_ibi,uncoupled_peak_count,uncoupled_peak_fraction,contraction_amplitude_mean,contraction_amplitude_std,contraction_amplitude_range,force_of_contraction_mean_au,force_of_contraction_std_au,force_of_contraction_peak_au,transient_rise_time_mean_ms,transient_decay_time_mean_ms,transient_fwhm_mean_ms,transient_duration_mean_ms,Arrhymia,snr,baseline_drift
Phe_0_1.1,Phe,0,1,1,33,452.083334375,11.785068731665147,20.521793644523125,0.02606835473808799,0.0,132.7188937034127,0.037564406199162785,0.037564406199162785,0.023707995838651325,0.04155934958127024,0.04742587317756678,0.0,True,ok,32,0.5,6.182371981449736e-25,0.4525427598451543,0,0.0,104.42877575757575,3.6910330681286148,20.367699999999985,51.07188469945355,12.122216919302664,86.8725,232.3233787878785,201.01009999999997,197.97983333333332,433.3334787878785,False,27.604496661729364,23.004199999999997
Phe_0_2.1,Phe,0,2,1,21,391.666665,19.867965488279086,28.867486111850766,0.05072672061146456,5.2631578947368425,153.1914900135808,0.0626317030972492,0.0626317030972492,0.048420572620718035,0.0920486634934628,0.04742587317756678,0.0,True,ok,20,0.5,0.21171984093048907,0.4525427598451543,0,0.0,123.45319047619044,12.412780767092636,64.99770000000002,85.1026682281059,21.095355727160364,157.4974,192.85716666666664,163.49202857142856,177.77779523809528,356.3491952380952,False,24.073063474191734,37.767050000000026
Phe_0_2.2,Phe,0,2,2,26,324.66667199999995,9.765789875014383,16.666700003174988,0.03007943443919117,0.0,184.80492509560702,0.041117568318021804,0.041117568318021804,0.02665875898760165,0.049268072788897,0.04742587317756678,0.0,True,ok,25,0.5,3.174963392791585e-20,0.4525427598451543,0,0.0,153.71248461538462,17.871363573016854,105.53529999999999,66.1310707070707,29.241112352985645,131.4256,162.17951153846147,126.28204230769234,118.66665200000006,288.46155384615383,False,22.644355808149257,47.340900000000005
Phe_0_2.3,Phe,0,2,3,23,359.8484772727273,24.483634971993812,39.00216043421427,0.06803873440719826,9.523809523809524,166.73684561551255,0.11639628022333114,0.11639628022333114,0.07879464322263052,0.2229683242697961,0.04742587317756678,0.0,True,ok,22,0.5,6.446122317249704e-06,0.4525427598451543,3,0.13043478260869565,110.23845217391303,16.219301641166744,66.4848,82.13193963782695,21.571385028660913,158.6526,177.53626956521728,148.55068260869572,192.02900434782606,326.08695217391295,False,27.5090616626103,360.932
Phe_0_2.4,Phe,0,2,4,20,405.2631473684211,20.82600268730233,28.86749742241855,0.05138883913461196,0.0,148.05195189745328,0.06093452561590491,0.06093452561590491,0.049344059513897934,0.08603364415625002,0.04742587317756678,0.0,True,ok,19,0.5,0.00026686230777527443,0.4525427598451543,0,0.0,69.00308499999998,8.368929786215517,39.09070000000003,63.989093951612894,15.147534983387002,117.007,185.83333500000003,200.00002499999994,199.16666500000002,385.83335999999997,False,24.898023833180382,13.318950000000001
Phe_100_1.1,Phe,100,1,1,61,250.27777833333332,89.7523440586053,122.2629223627007,0.3586109188609959,79.66101694915254,239.7336287686268,0.9985259069127665,0.9985259069127665,0.9980892131922535,0.999961130702681,0.9975273768433653,0.45,True,ok,60,0.5,6.988932775431749e-17,0.4525427598451543,0,0.0,44.05425901639344,15.678835362151714,44.98790000000001,42.66401940789474,15.720129600939917,120.9523,115.30060327868844,89.8907655737704,186.45848749999982,205.19136885245885,True,11.36140190491314,9.538899999999998
Phe_100_1.2,Phe,100,1,2,37,412.9629722222222,11.346700493135465,15.685324257707627,0.02747631447942412,0.0,145.29147656297138,0.035227847543005786,0.035227847543005786,0.02470557277087614,0.03355209668057445,0.04742587317756678,0.0,True,ok,36,0.5,2.449960459742467e-17,0.4525427598451543,0,0.0,108.07959999999999,5.106604309236334,26.846499999999992,65.94309791894852,16.619268498528772,129.4671,186.03605405405403,201.35134594594595,211.26124324324329,387.3874,False,24.6296340775141,34.13329999999999
Phe_100_1.3,Phe,100,1,3,32,463.4408483870968,10.01792891609403,15.811437502653883,0.02161641329407887,0.0,129.46636061283053,0.032740174074686074,0.032740174074686074,0.020805608360345874,0.029989040686145576,0.04742587317756678,0.0,True,ok,31,0.5,3.2656968408072453e-25,0.4525427598451543,0,0.0,139.082425,5.955869057194892,33.912799999999976,69.43630514223194,20.88197979264315,136.1214,226.562478125,229.16667187500002,213.020865625,455.72915,False,28.149438896806338,37.46840000000002
Phe_100_1.4,Phe,100,1,4,22,471.4285857142857,35.80145636436157,49.58154562713833,0.07594248089584331,35.0,127.27272341597808,0.11732077517170363,0.11732077517170363,0.09781641956930999,0.20672003276823406,0.04742587317756678,0.0,True,ok,21,0.5,7.695892517570799e-10,0.4525427598451543,0,0.0,45.584386363636376,3.6162130101208225,13.964300000000009,12.199793209876544,5.649280268582773,29.585,229.54549090909086,150.75753636363635,223.48487272727272,380.3030272727272,False,22.73211980088754,29.6552
Phe_100_2.1,Phe,100,2,1,29,431.54763214285714,74.9950955973742,54.90355217335745,0.17378173349019382,18.51851851851852,139.0344785396434,0.4903482173016079,0.4903482173016079,0.6711634774881284,0.3355348452506668,0.46434632916602836,0.14285714285714285,True,ok,28,0.5,0.0025261706663396786,0.4525427598451543,3,0.10344827586206896,21.085637931034476,5.39329914479956,19.563400000000115,21.994428746594007,53.26004330902367,996.1735,162.64366206896554,185.05749655172414,213.63628181818206,347.7011586206896,False,33.91942466888946,1290.9147
Phe_100_2.2,Phe,100,2,2,36,328.57142857142856,26.374428275950898,41.71563632260335,0.08026999910072012,11.764705882352942,182.60869565217394,0.1636942878815777,0.1636942878815777,0.10988659201977145,0.3337703984473948,0.04742587317756678,0.0,True,ok,35,0.5,5.6067023465781815e-15,0.4525427598451543,0,0.0,107.42623333333333,5.2055007717935124,22.203799999999987,66.83560745856354,17.17934107466407,127.1456,161.11111666666667,158.7963222222222,182.87038611111106,319.9074388888888,False,22.393764657502846,59.6249
Phe_100_2.3,Phe,100,2,3,22,532.5396999999999,47.86442529753177,77.72806228708852,0.08987954381153512,40.0,112.66765651462231,0.21951818462219638,0.21951818462219638,0.14141174239564502,0.46971693829337735,0.04742587317756678,0.0,True,ok,21,0.5,2.722211560968535e-11,0.4525427598451543,0,0.0,126.15004545454545,59.98671425286585,250.74450000000004,37.736267503486744,28.421812682333528,209.1579,260.6060681818182,184.0909272727272,270.4545090909091,444.69699545454546,False,21.912137530072457,183.5224
Phe_100_2.4,Phe,100,2,4,33,359.375009375,75.00752266702384,110.35148926573561,0.20871657936780774,58.064516129032256,166.95651738374303,0.8412228712241882,0.8412228712241882,0.8533970974269754,0.991092817070196,0.6791786991753931,0.1875,True,ok,32,0.5,0.045616020226024116,0.4525427598451543,0,0.0,111.5991787878788,47.9987846433946,261.3575,60.934448418156805,24.11910925200684,298.3867,175.25255454545456,149.99996666666672,200.5050848484848,325.2525212121213,True,20.13159020498208,46.65939999999999
Phe_50_1.1,Phe,50,1,1,34,436.36362727272734,22.99397518108381,37.49994722437128,0.05269452755445305,12.5,137.50000286458337,0.07543080003606555,0.07543080003606555,0.05121429966810357,0.12765222726252629,0.04742587317756678,0.0,True,ok,33,0.5,9.838444202290906e-14,0.4525427598451543,0,0.0,111.9728705882353,6.085691845957797,31.49600000000001,64.52632298206278,20.515152148070275,139.2545,221.56860588235298,184.8039117647059,220.58824705882355,406.37251764705894,False,22.33882252649498,35.623999999999995
Phe_50_1.2,Phe,50,1,2,37,398.1481583333333,17.264479648496607,26.874341927964117,0.04336194777533701,8.571428571428571,150.69767056354797,0.054749940534122375,0.054749940534122375,0.03919803994140324,0.0776259084833971,0.04742587317756678,0.0,True,ok,36,0.5,0.00024097324466576458,0.4525427598451543,0,0.0,148.25871351351353,14.623670688460356,91.98620000000001,92.44749255555556,30.24487431843798,194.8605,168.01800270270272,196.3963810810811,152.7026945945946,364.4143837837838,False,23.48899870638842,28.356300000000005
Phe_75_1.1,Phe,75,1,1,34,442.4242515151515,26.70922881884793,47.14040714996736,0.060370173487049976,25.0,135.6164355695253,0.108211815926254,0.108211815926254,0.06363183780038721,0.213577736800808,0.04742587317756678,0.0,True,ok,33,0.5,4.833728806913716e-13,0.4525427598451543,1,0.029411764705882353,78.55380294117647,19.11499689771589,118.7981,43.243617324561406,24.92697744620137,299.9078,220.0979676470589,194.60794999999985,192.15692352941164,414.7059176470588,False,13.742539865362563,46.1746
