term,coefficient,std_error,z_statistic,p_value,odds_ratio
intercept,-10.23464844736714,4.493347717689824,-2.277733460750085,0.022742462860351895,3.5904481141845394e-05
concentration_numeric,0.09067791929878644,0.04496796252154236,2.016500508675399,0.04374766508347844,1.0949162970525366
exposure_Terf,8.086850303052,3.6728617564106942,2.2017845591212444,0.02768053029584129,3251.430404802511
