0	39.0054
16.6667	39.6879
33.3333	51.5352
50	78.0313
66.6667	103.4022
83.3333	108.9078
100	83.5778
116.6667	62.692
133.3333	58.1845
150	74.6369
166.6667	78.3919
183.3333	84.7636
200	85.3738
216.6667	81.1998
233.3333	74.9468
250	68.0438
266.6667	67.753
283.3333	63.5915
300	60.6063
316.6667	56.992
333.3333	52.7594
350	46.9164
366.6667	43.9008
383.3333	39.1
400	34.9115
416.6667	29.153
433.3333	28.6096
450	28.0741
466.6667	23.8416
483.3333	20.4513
500	19.5879
516.6667	17.9663
533.3333	19.2649
550	17.5383
566.6667	15.9081
583.3333	21.3248
600	37.2257
616.6667	66.9494
633.3333	92.2818
650	98.5748
666.6667	80.5779
683.3333	66.7297
700	58.7209
716.6667	47.608
733.3333	39.0071
750	32.2775
766.6667	43.3864
783.3333	53.6139
800	51.7416
816.6667	45.1704
833.3333	40.5658
850	38.9173
866.6667	35.994
883.3333	35.4241
900	33.9467
916.6667	30.3873
933.3333	29.3134
950	28.7829
966.6667	26.6403
983.3333	25.2271
1000	29.753
1016.6667	23.923
1033.3334	23.0664
1050	20.357
1066.6666	17.958
1083.3334	27.5474
1100	26.5688
1116.6666	18.5514
1133.3334	15.8136
1150	20.3144
1166.6666	24.6422
1183.3334	31.6619
1200	43.4699
1216.6666	62.1352
1233.3334	92.3022
1250	121.0971
1266.6666	108.2648
1283.3334	83.8495
1300	62.0756
1316.6666	62.2173
1333.3334	80.5196
1350	83.489
1366.6666	85.8948
1383.3334	85.9638
1400	81.2477
1416.6666	74.2544
1433.3334	71.5008
1450	62.3007
1466.6666	58.8655
1483.3334	54.1218
1500	50.2886
1516.6666	45.5357
1533.3334	45.5952
1550	42.0958
1566.6666	39.5455
1583.3334	34.9049
1600	29.7514
1616.6666	26.8652
1633.3334	23.1103
1650	20.6054
1666.6666	21.5524
1683.3334	20.1112
1700	18.3929
1716.6666	19.5239
1733.3334	16.8393
1750	19.4804
1766.6666	27.4855
1783.3334	37.1366
1800	52.5884
1816.6666	63.147
1833.3334	85.7674
1850	102.6517
1866.6666	98.584
1883.3334	87.3884
1900	64.3632
1916.6666	44.7332
1933.3334	29.8637
1950	35.3708
1966.6666	47.7657
1983.3334	53.227
2000	49.7241
2016.6666	41.7799
2033.3334	36.6599
2050	33.1935
2066.6667	29.8909
2083.3333	28.7262
2100	27.4816
2116.6667	25.2026
2133.3333	26.6385
2150	24.7417
2166.6667	24.2799
2183.3333	23.5591
2200	22.2582
2216.6667	21.3097
2233.3333	19.3959
2250	21.5126
2266.6667	20.8368
2283.3333	19.1386
2300	16.5667
2316.6667	16.6694
2333.3333	15.4188
2350	17.1582
2366.6667	23.9173
2383.3333	34.0391
2400	44.0239
2416.6667	55.2689
2433.3333	85.8254
2450	113.7262
2466.6667	103.5668
2483.3333	80.7746
2500	61.345
2516.6667	64.441
2533.3333	79.895
2550	82.2156
2566.6667	86.4389
