0	77.5368
16.6667	80.0731
33.3333	92.4154
50	114.3309
66.6667	142.7463
83.3333	179.4123
100	203.4797
116.6667	228.9522
133.3333	246.1919
150	255.8585
166.6667	266.0482
183.3333	265.5429
200	257.8181
216.6667	245.6602
233.3333	218.0541
250	189.1553
266.6667	160.3524
283.3333	138.1673
300	121.2379
316.6667	120.531
333.3333	133.0849
350	146.1389
366.6667	159.0392
383.3333	167.0061
400	173.847
416.6667	180.5814
433.3333	186.3864
450	191.7315
466.6667	196.1084
483.3333	197.8856
500	198.3248
516.6667	198.1938
533.3333	197.9732
550	197.3877
566.6667	196.3633
583.3333	195.136
600	194.1115
616.6667	193.0956
633.3333	191.6542
650	190.0466
666.6667	188.1198
683.3333	186.3604
700	185.0258
716.6667	184.2007
733.3333	183.5806
750	181.8326
766.6667	179.9742
783.3333	177.7914
800	177.4353
816.6667	179.3756
833.3333	187.5898
850	207.2569
866.6667	221.4129
883.3333	224.9455
900	234.8917
916.6667	260.7098
933.3333	271.7712
950	270.356
966.6667	265.4633
983.3333	256.8865
1000	247.0886
1016.6667	235.3477
1033.3334	216.3727
1050	193.7665
1066.6666	171.8129
1083.3334	153.933
1100	139.394
1116.6666	125.0421
1133.3334	115.3453
1150	107.2631
1166.6666	99.865
1183.3334	93.2044
1200	88.6544
1216.6666	84.7486
1233.3334	81.852
1250	80.4668
1266.6666	78.3859
1283.3334	76.3621
1300	75.8463
1316.6666	73.9399
1333.3334	71.1149
1350	70.5471
1366.6666	70.2117
1383.3334	70.3442
1400	71.4263
1416.6666	71.3844
1433.3334	70.062
1450	69.6669
1466.6666	70.3252
1483.3334	70.0876
1500	70.5275
1516.6666	70.5686
1533.3334	70.8368
1550	70.7673
1566.6666	70.3219
1583.3334	70.2704
1600	72.2935
1616.6666	84.5622
1633.3334	137.3802
1650	179.258
1666.6666	203.0599
1683.3334	219.9451
1700	246.2629
1716.6666	252.7573
1733.3334	258.8957
1750	254.7957
1766.6666	242.7473
1783.3334	217.6384
1800	187.05
1816.6666	164.3313
1833.3334	143.7913
1850	125.7552
1866.6666	125.1853
1883.3334	135.0064
1900	147.4651
1916.6666	158.9066
1933.3334	166.5128
1950	173.3558
1966.6666	179.4696
1983.3334	187.0589
2000	194.9391
2016.6666	198.9536
2033.3334	202.3729
2050	204.5231
2066.6667	204.4517
2083.3333	202.0398
2100	199.4876
2116.6667	197.8397
2133.3333	196.493
2150	195.2085
2166.6667	194.267
2183.3333	192.4907
2200	190.821
2216.6667	189.2658
2233.3333	187.9173
2250	186.6196
2266.6667	184.6627
2283.3333	183.1479
